Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
15830.0,Elixir,Elixir,MySQL,MySQL,Heroku,Heroku,Express,Express,Vim
15834.0,HTML/CSS,HTML/CSS,Oracle,PostgreSQL,Linux,Android,jQuery,jQuery,Eclipse
15836.0,C#,C#,MySQL,MySQL,Docker,Docker,ASP.NET,ASP.NET,Visual Studio
15837.0,Bash/Shell/PowerShell,Go,MySQL,PostgreSQL,Docker,Docker,Ruby on Rails,Express,Atom
15839.0,HTML/CSS,C#,MySQL,PostgreSQL,Linux,Arduino,Drupal,Laravel,PHPStorm
15842.0,C#,HTML/CSS,Microsoft SQL Server,MariaDB,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Notepad++
15843.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,PostgreSQL,Android,AWS,Angular/Angular.js,React.js,Vim
15845.0,HTML/CSS,Elixir,Firebase,Firebase,Google Cloud Platform,Google Cloud Platform,Angular/Angular.js,Angular/Angular.js,Vim
15846.0,C,C,DynamoDB,Microsoft SQL Server,AWS,Arduino,Angular/Angular.js,ASP.NET,Notepad++
15848.0,Bash/Shell/PowerShell,JavaScript,MongoDB,Elasticsearch,AWS,AWS,Flask,Django,Atom
15849.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,MongoDB,Arduino,Arduino,React.js,Flask,IPython / Jupyter
15850.0,C#,HTML/CSS,DynamoDB,Elasticsearch,Android,Android,Angular/Angular.js,Express,Eclipse
15851.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Microsoft Azure,ASP.NET,ASP.NET,Visual Studio
15854.0,C#,C#,MySQL,PostgreSQL,Windows,Windows,Angular/Angular.js,jQuery,Visual Studio
15855.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,iOS,iOS,jQuery,React.js,Visual Studio Code
15856.0,HTML/CSS,Java,Microsoft SQL Server,MongoDB,Docker,Docker,ASP.NET,ASP.NET,IntelliJ
15857.0,HTML/CSS,Clojure,DynamoDB,DynamoDB,AWS,AWS,React.js,Flask,PyCharm
15859.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,jQuery,React.js,Atom
15861.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,Firebase,Docker,Docker,Django,Django,Atom
15862.0,Assembly,Java,Firebase,DynamoDB,Android,Android,Spring,Spring,Android Studio
15863.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Heroku,Heroku,Django,Django,Atom
15864.0,Assembly,Bash/Shell/PowerShell,MariaDB,MariaDB,Arduino,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
15867.0,C#,C++,MongoDB,Oracle,AWS,AWS,jQuery,React.js,Notepad++
15868.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Windows,Windows,ASP.NET,React.js,Visual Studio
15873.0,Bash/Shell/PowerShell,Assembly,Cassandra,Cassandra,AWS,Android,jQuery,React.js,Atom
15875.0,Assembly,Assembly,Firebase,Firebase,Android,Android,jQuery,React.js,Android Studio
15880.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Arduino,Android,jQuery,Angular/Angular.js,PHPStorm
15881.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,PostgreSQL,Android,Docker,Other(s):,Other(s):,Emacs
15882.0,Bash/Shell/PowerShell,Go,DynamoDB,DynamoDB,AWS,Linux,React.js,React.js,Emacs
15890.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,AWS,AWS,Django,Django,Eclipse
15891.0,Java,Java,MongoDB,Redis,Docker,Google Cloud Platform,Angular/Angular.js,Spring,IntelliJ
15894.0,C#,Swift,Firebase,Firebase,Android,Linux,React.js,React.js,IntelliJ
15900.0,Bash/Shell/PowerShell,C#,Elasticsearch,Elasticsearch,AWS,AWS,Express,Express,Visual Studio
15901.0,HTML/CSS,C++,DynamoDB,DynamoDB,Android,AWS,Angular/Angular.js,Express,Sublime Text
15903.0,C,Go,Elasticsearch,MongoDB,AWS,Docker,Express,React.js,IntelliJ
15904.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,AWS,Arduino,Express,Express,IntelliJ
15907.0,HTML/CSS,Objective-C,MongoDB,PostgreSQL,Linux,Linux,Angular/Angular.js,React.js,IntelliJ
15908.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,AWS,jQuery,React.js,IntelliJ
15911.0,HTML/CSS,HTML/CSS,Elasticsearch,Firebase,Android,Arduino,Angular/Angular.js,Express,Atom
15915.0,Bash/Shell/PowerShell,C++,Elasticsearch,Elasticsearch,Docker,Android,Angular/Angular.js,Angular/Angular.js,PHPStorm
15916.0,C#,HTML/CSS,Elasticsearch,PostgreSQL,Docker,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
15921.0,Assembly,Assembly,Cassandra,Elasticsearch,Android,AWS,Drupal,Angular/Angular.js,NetBeans
15922.0,C,HTML/CSS,MongoDB,MongoDB,AWS,AWS,Express,Express,Visual Studio Code
15923.0,Java,Dart,MySQL,Elasticsearch,Linux,Android,Spring,Angular/Angular.js,IntelliJ
15924.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,MySQL,MacOS,Docker,React.js,Ruby on Rails,Sublime Text
15926.0,HTML/CSS,Dart,Firebase,Cassandra,Slack,Docker,Angular/Angular.js,React.js,IntelliJ
15927.0,C#,C#,MongoDB,Elasticsearch,Microsoft Azure,Android,Angular/Angular.js,Angular/Angular.js,Sublime Text
15928.0,Bash/Shell/PowerShell,JavaScript,MySQL,PostgreSQL,Android,Android,Express,React.js,Android Studio
15930.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,Flask,Flask,Atom
15934.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
15935.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Android,Android,jQuery,jQuery,Android Studio
15936.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,AWS,AWS,jQuery,React.js,IPython / Jupyter
15939.0,C#,F#,Microsoft SQL Server,DynamoDB,AWS,MacOS,ASP.NET,React.js,Visual Studio Code
15942.0,HTML/CSS,Go,Firebase,Firebase,Android,Android,Express,Express,Android Studio
15943.0,C#,C#,DynamoDB,DynamoDB,Microsoft Azure,AWS,ASP.NET,ASP.NET,Sublime Text
15951.0,C,Go,MongoDB,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
15952.0,C#,Assembly,Microsoft SQL Server,MariaDB,Android,Android,ASP.NET,React.js,Visual Studio
15953.0,Go,Elixir,PostgreSQL,Redis,Heroku,AWS,Angular/Angular.js,React.js,Atom
15958.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,Android,Android,Vue.js,Vue.js,Atom
15962.0,C#,C++,Oracle,PostgreSQL,Android,Android,Angular/Angular.js,ASP.NET,IntelliJ
15963.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,SQLite,Android,Android,jQuery,React.js,Android Studio
15966.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,jQuery,Sublime Text
15968.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Couchbase,AWS,AWS,React.js,React.js,Vim
15972.0,Bash/Shell/PowerShell,JavaScript,Elasticsearch,Cassandra,Google Cloud Platform,Arduino,jQuery,Django,Atom
15973.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Heroku,Heroku,Express,Express,Notepad++
15975.0,C#,C++,Oracle,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
15977.0,HTML/CSS,HTML/CSS,MySQL,PostgreSQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Eclipse
15979.0,Dart,Dart,Firebase,Firebase,Android,AWS,Angular/Angular.js,Django,Android Studio
15981.0,Elixir,Go,MongoDB,MongoDB,Android,Android,Angular/Angular.js,Flask,Visual Studio Code
15983.0,C#,C#,Couchbase,Couchbase,Linux,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
15984.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Firebase,Docker,Android,Angular/Angular.js,Angular/Angular.js,Vim
15988.0,Kotlin,C,MySQL,MySQL,Android,Android,Django,Angular/Angular.js,Android Studio
15993.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Visual Studio
15995.0,HTML/CSS,HTML/CSS,Couchbase,Elasticsearch,Android,Android,Express,Express,Android Studio
15996.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Docker,Docker,React.js,React.js,IntelliJ
15997.0,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,AWS,Docker,jQuery,Django,Atom
15999.0,C#,C#,MySQL,MySQL,AWS,AWS,ASP.NET,ASP.NET,Eclipse
16004.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Linux,Android,Angular/Angular.js,Angular/Angular.js,NetBeans
16005.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Other(s):,AWS,AWS,Spring,Spring,IntelliJ
16006.0,JavaScript,Java,MySQL,MySQL,Linux,Linux,jQuery,Django,PHPStorm
16007.0,C#,C#,Microsoft SQL Server,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
16008.0,C++,C++,MongoDB,MongoDB,Docker,AWS,Angular/Angular.js,Angular/Angular.js,Atom
16011.0,C++,C#,Microsoft SQL Server,MongoDB,Windows,AWS,Angular/Angular.js,ASP.NET,NetBeans
16013.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Android,Android,React.js,React.js,Android Studio
16014.0,Bash/Shell/PowerShell,Go,Elasticsearch,PostgreSQL,Docker,Arduino,Express,React.js,Vim
16015.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Windows,AWS,Angular/Angular.js,Angular/Angular.js,Sublime Text
16016.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,ASP.NET,ASP.NET,Notepad++
16017.0,C++,C++,MySQL,PostgreSQL,AWS,Docker,jQuery,Vue.js,Vim
16020.0,C++,JavaScript,Firebase,PostgreSQL,Android,Linux,React.js,React.js,Android Studio
16021.0,C#,HTML/CSS,MySQL,MySQL,Windows,Docker,jQuery,React.js,IntelliJ
16022.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,jQuery,React.js,Eclipse
16024.0,Assembly,Elixir,Microsoft SQL Server,Cassandra,AWS,AWS,Angular/Angular.js,Vue.js,Atom
16028.0,C#,Clojure,Elasticsearch,DynamoDB,Docker,Android,ASP.NET,Express,Android Studio
16031.0,C,C,MySQL,MySQL,Linux,Linux,jQuery,React.js,Eclipse
16033.0,HTML/CSS,Go,MariaDB,MariaDB,WordPress,iOS,jQuery,Laravel,PHPStorm
16035.0,C#,C#,DynamoDB,Elasticsearch,AWS,AWS,ASP.NET,ASP.NET,Vim
16036.0,C,C#,Cassandra,Cassandra,AWS,Docker,Django,Django,Emacs
16037.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Firebase,iOS,Arduino,Angular/Angular.js,Angular/Angular.js,Notepad++
16040.0,C++,C++,MySQL,PostgreSQL,iOS,iOS,jQuery,React.js,Visual Studio
16041.0,HTML/CSS,C,MongoDB,MongoDB,Android,Android,jQuery,Angular/Angular.js,Android Studio
16046.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
16047.0,PHP,Go,Elasticsearch,MariaDB,AWS,AWS,Drupal,Drupal,PHPStorm
16050.0,HTML/CSS,C++,Elasticsearch,DynamoDB,Google Cloud Platform,AWS,Express,Angular/Angular.js,Atom
16051.0,Bash/Shell/PowerShell,C++,DynamoDB,Redis,AWS,Google Cloud Platform,Angular/Angular.js,Spring,Vim
16052.0,C,Bash/Shell/PowerShell,MariaDB,Cassandra,Docker,Android,Drupal,Express,Emacs
16054.0,C#,C,Microsoft SQL Server,Microsoft SQL Server,Windows,Docker,ASP.NET,React.js,RStudio
16059.0,Go,C++,MongoDB,PostgreSQL,Linux,Linux,Ruby on Rails,React.js,Emacs
16065.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,MongoDB,Other(s):,Linux,jQuery,Vue.js,Notepad++
16071.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,ASP.NET,Django,Notepad++
16077.0,Bash/Shell/PowerShell,Elixir,MongoDB,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
16079.0,Clojure,C,MariaDB,MariaDB,Android,Android,Flask,Flask,Atom
16080.0,C#,Dart,MariaDB,MariaDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
16083.0,HTML/CSS,Python,DynamoDB,PostgreSQL,AWS,Linux,Angular/Angular.js,Vue.js,Visual Studio Code
16088.0,Bash/Shell/PowerShell,C#,MariaDB,Microsoft SQL Server,Android,Android,ASP.NET,Laravel,Android Studio
16089.0,C,Elixir,DynamoDB,DynamoDB,AWS,Docker,jQuery,React.js,Visual Studio Code
16092.0,C++,Go,Elasticsearch,PostgreSQL,AWS,Linux,Spring,React.js,Vim
16093.0,Bash/Shell/PowerShell,Elixir,Elasticsearch,Elasticsearch,Docker,Docker,jQuery,jQuery,IntelliJ
16094.0,Bash/Shell/PowerShell,C#,MongoDB,MongoDB,Docker,Docker,Angular/Angular.js,ASP.NET,Sublime Text
16095.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Cassandra,Docker,Docker,jQuery,Flask,PHPStorm
16097.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,AWS,AWS,Django,React.js,Eclipse
16098.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Cassandra,Android,Android,ASP.NET,ASP.NET,Sublime Text
16099.0,Bash/Shell/PowerShell,HTML/CSS,Microsoft SQL Server,PostgreSQL,AWS,AWS,Express,Express,Visual Studio Code
16101.0,Bash/Shell/PowerShell,C#,MySQL,MySQL,Android,Arduino,jQuery,jQuery,Eclipse
16107.0,C#,C#,Microsoft SQL Server,PostgreSQL,Heroku,Google Cloud Platform,ASP.NET,React.js,Notepad++
16113.0,Bash/Shell/PowerShell,F#,MongoDB,PostgreSQL,AWS,Linux,Angular/Angular.js,React.js,Visual Studio Code
16116.0,Bash/Shell/PowerShell,C,Microsoft SQL Server,MongoDB,Android,Android,ASP.NET,ASP.NET,Android Studio
16121.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Spring,Spring,IntelliJ
16122.0,Bash/Shell/PowerShell,Assembly,DynamoDB,MongoDB,Arduino,Arduino,Express,React.js,Emacs
16123.0,Java,C#,Oracle,Firebase,Docker,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
16128.0,Bash/Shell/PowerShell,Go,Elasticsearch,PostgreSQL,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
16136.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
16144.0,HTML/CSS,HTML/CSS,MariaDB,MariaDB,Windows,Windows,Angular/Angular.js,Angular/Angular.js,IntelliJ
16145.0,Bash/Shell/PowerShell,Java,Microsoft SQL Server,MariaDB,Other(s):,Android,jQuery,Laravel,NetBeans
16147.0,Java,Go,MongoDB,MongoDB,AWS,AWS,Django,Django,Visual Studio Code
16151.0,JavaScript,Go,PostgreSQL,MariaDB,Docker,Docker,Django,React.js,IPython / Jupyter
16155.0,Bash/Shell/PowerShell,Rust,PostgreSQL,DynamoDB,AWS,AWS,Express,Express,IntelliJ
16158.0,Bash/Shell/PowerShell,Elixir,DynamoDB,PostgreSQL,AWS,AWS,React.js,React.js,Emacs
16161.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Atom
16164.0,HTML/CSS,C#,Firebase,MongoDB,Docker,Arduino,Express,Express,Atom
16165.0,C#,C#,Elasticsearch,Elasticsearch,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Visual Studio
16169.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,AWS,Android,jQuery,React.js,IPython / Jupyter
16170.0,Python,Go,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask,IPython / Jupyter
16171.0,Assembly,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,React.js,Sublime Text
16173.0,Ruby,Ruby,Elasticsearch,Elasticsearch,AWS,AWS,Ruby on Rails,Ruby on Rails,Sublime Text
16178.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,jQuery,React.js,Visual Studio
16182.0,Bash/Shell/PowerShell,C#,MongoDB,PostgreSQL,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Sublime Text
16184.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,Google Cloud Platform,Express,React.js,IntelliJ
16186.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,jQuery,Notepad++
16189.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,Express,Express,IPython / Jupyter
16190.0,C,Java,Firebase,Firebase,Android,Android,jQuery,React.js,Android Studio
16191.0,Bash/Shell/PowerShell,HTML/CSS,PostgreSQL,MongoDB,Docker,Docker,Django,Flask,Vim
16192.0,Bash/Shell/PowerShell,Assembly,MongoDB,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
16193.0,Clojure,Clojure,MongoDB,MongoDB,Google Cloud Platform,Google Cloud Platform,Express,Express,Emacs
16195.0,Assembly,C#,MongoDB,Redis,Android,Android,Django,Django,Android Studio
16196.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,AWS,Linux,Angular/Angular.js,Spring,IntelliJ
16197.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Docker,Docker,Spring,Angular/Angular.js,IntelliJ
16198.0,C#,C#,Microsoft SQL Server,MySQL,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
16199.0,Go,Clojure,PostgreSQL,Elasticsearch,Docker,Docker,Django,Django,Atom
16200.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Linux,Android,Angular/Angular.js,ASP.NET,Android Studio
16205.0,C#,C#,Elasticsearch,Elasticsearch,Windows,AWS,Angular/Angular.js,Vue.js,Notepad++
16207.0,Bash/Shell/PowerShell,Go,MySQL,Other(s):,Arduino,Docker,jQuery,React.js,IntelliJ
16212.0,Assembly,Assembly,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,ASP.NET,ASP.NET,Notepad++
16213.0,Go,Dart,DynamoDB,Elasticsearch,AWS,Android,React.js,React.js,Visual Studio Code
16215.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,PostgreSQL,Microsoft Azure,Linux,Angular/Angular.js,Angular/Angular.js,Sublime Text
16217.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Microsoft Azure,jQuery,React.js,Visual Studio
16220.0,HTML/CSS,JavaScript,MySQL,MongoDB,Windows,Docker,jQuery,React.js,PHPStorm
16221.0,Bash/Shell/PowerShell,Dart,Cassandra,Cassandra,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Atom
16222.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Docker,Docker,jQuery,Django,Atom
16225.0,Bash/Shell/PowerShell,Go,Oracle,DynamoDB,Linux,AWS,ASP.NET,Express,IntelliJ
16228.0,HTML/CSS,C#,MySQL,MongoDB,Android,Android,jQuery,Angular/Angular.js,NetBeans
16230.0,HTML/CSS,Elixir,DynamoDB,Firebase,Android,Android,Express,Angular/Angular.js,Android Studio
16232.0,HTML/CSS,C++,MySQL,PostgreSQL,Docker,Arduino,Express,React.js,Visual Studio Code
16233.0,Bash/Shell/PowerShell,Elixir,MariaDB,PostgreSQL,Docker,Android,Django,Angular/Angular.js,Emacs
16235.0,C#,Dart,Microsoft SQL Server,MongoDB,Arduino,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
16237.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Notepad++
16238.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Linux,Android,jQuery,Angular/Angular.js,Notepad++
16240.0,Assembly,C,Cassandra,Couchbase,Linux,Linux,jQuery,React.js,Vim
16241.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Cassandra,Android,Docker,ASP.NET,Express,Atom
16242.0,C,C#,MySQL,MySQL,Linux,Linux,ASP.NET,Angular/Angular.js,Komodo
16246.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Windows,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
16249.0,HTML/CSS,Kotlin,MongoDB,PostgreSQL,Docker,Docker,Angular/Angular.js,Vue.js,IntelliJ
16250.0,HTML/CSS,Python,DynamoDB,Elasticsearch,AWS,AWS,Django,Django,IPython / Jupyter
16255.0,C#,C#,Firebase,Firebase,AWS,AWS,jQuery,React.js,Notepad++
16256.0,Bash/Shell/PowerShell,Assembly,MySQL,Elasticsearch,Docker,AWS,React.js,React.js,Emacs
16257.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,Android,Android,jQuery,jQuery,Android Studio
16261.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,Android,Laravel,Laravel,IntelliJ
16267.0,HTML/CSS,Elixir,Firebase,Firebase,Android,Android,Angular/Angular.js,Express,Android Studio
16268.0,Java,Java,Cassandra,PostgreSQL,Linux,Docker,Angular/Angular.js,Angular/Angular.js,Atom
16275.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Eclipse
16277.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Docker,Angular/Angular.js,Angular/Angular.js,Notepad++
16279.0,JavaScript,JavaScript,DynamoDB,DynamoDB,AWS,AWS,React.js,React.js,Vim
16281.0,Python,Python,PostgreSQL,PostgreSQL,AWS,AWS,Flask,Flask,IntelliJ
16283.0,Assembly,Assembly,Elasticsearch,MongoDB,AWS,Docker,Express,Express,Visual Studio Code
16286.0,C,C,MongoDB,MongoDB,Docker,Docker,Express,Express,Emacs
16288.0,Bash/Shell/PowerShell,Java,PostgreSQL,PostgreSQL,Docker,Docker,jQuery,React.js,Atom
16289.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Docker,Android,jQuery,Vue.js,Emacs
16291.0,C#,C#,MySQL,MySQL,Android,Slack,jQuery,jQuery,Android Studio
16292.0,HTML/CSS,HTML/CSS,Other(s):,Other(s):,Linux,Linux,Other(s):,Other(s):,Eclipse
16295.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,React.js,Emacs
16296.0,HTML/CSS,HTML/CSS,MySQL,MySQL,WordPress,WordPress,jQuery,jQuery,Atom
16297.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,Django,Django,Emacs
16299.0,Go,C++,MySQL,MySQL,AWS,Arduino,Django,Django,PyCharm
16302.0,HTML/CSS,HTML/CSS,Firebase,Cassandra,Arduino,Arduino,jQuery,jQuery,Visual Studio Code
16306.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
16307.0,C#,C,Microsoft SQL Server,Microsoft SQL Server,Windows,Linux,ASP.NET,ASP.NET,Notepad++
16308.0,Java,Clojure,MySQL,Cassandra,Docker,Linux,React.js,React.js,IntelliJ
16315.0,Assembly,Java,Firebase,Firebase,Android,Android,jQuery,React.js,Android Studio
16317.0,HTML/CSS,HTML/CSS,MySQL,MongoDB,Docker,AWS,Spring,Angular/Angular.js,IntelliJ
16318.0,HTML/CSS,Clojure,MySQL,Other(s):,Other(s):,Other(s):,React.js,React.js,Visual Studio Code
16319.0,HTML/CSS,HTML/CSS,MariaDB,Elasticsearch,Arduino,Arduino,jQuery,Drupal,Eclipse
16320.0,C#,C#,Microsoft SQL Server,Couchbase,Microsoft Azure,Android,Angular/Angular.js,Angular/Angular.js,Atom
16323.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Other(s):,Other(s):,ASP.NET,ASP.NET,Visual Studio
16325.0,HTML/CSS,Go,PostgreSQL,PostgreSQL,AWS,AWS,Django,Django,Atom
16328.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Arduino,Angular/Angular.js,ASP.NET,Atom
16330.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Linux,Linux,jQuery,React.js,Sublime Text
16331.0,C#,C#,MongoDB,MongoDB,Linux,Linux,Angular/Angular.js,Angular/Angular.js,PHPStorm
16333.0,HTML/CSS,Go,MariaDB,Cassandra,AWS,Arduino,Angular/Angular.js,Angular/Angular.js,Eclipse
16334.0,Bash/Shell/PowerShell,WebAssembly,Cassandra,SQLite,AWS,Microsoft Azure,Angular/Angular.js,Vue.js,Sublime Text
16342.0,C#,F#,Other(s):,Other(s):,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Emacs
16350.0,Bash/Shell/PowerShell,Python,Elasticsearch,Elasticsearch,AWS,AWS,Flask,Flask,IntelliJ
16351.0,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,Elasticsearch,AWS,AWS,Drupal,Drupal,Atom
16352.0,C#,C#,Microsoft SQL Server,Elasticsearch,Linux,AWS,ASP.NET,ASP.NET,Atom
16353.0,Assembly,HTML/CSS,Firebase,Firebase,Android,Arduino,Angular/Angular.js,Angular/Angular.js,IntelliJ
16355.0,C#,Kotlin,Elasticsearch,Firebase,Slack,Android,Angular/Angular.js,Ruby on Rails,Visual Studio
16359.0,HTML/CSS,C#,SQLite,PostgreSQL,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Visual Studio
16360.0,Bash/Shell/PowerShell,Kotlin,Elasticsearch,PostgreSQL,AWS,AWS,Spring,React.js,IntelliJ
16361.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Android,AWS,Flask,Flask,IPython / Jupyter
16362.0,HTML/CSS,C#,PostgreSQL,PostgreSQL,Android,Android,Angular/Angular.js,Angular/Angular.js,Eclipse
